date,time,ticker,source,title
2012-12-20,22:03:58,ADBE,Reuters,Adobe acquires social media firm Behance as it expands in cloud
2013-06-18,22:21:07,ADBE,Reuters,Adobe Systems profit beats as Creative Cloud subscriptions grow
2013-06-19,03:02:18,ADBE,Reuters,Adobe expects third-quarter Creative Cloud subscriber adds to exceed second-quarter
2013-10-29,23:32:51,ADBE,Reuters,Adobe data breach more extensive than previously disclosed
2014-03-18,22:03:02,ADBE,Reuters,Adobe results beat estimates as web-based subscriptions rise
2014-09-16,22:15:55,ADBE,Reuters,Adobe revenue misses estimate
2015-01-14,23:12:17,ADBE,Reuters,Adobe plans up to $2 billion share buyback
2015-01-14,23:27:50,ADBE,Reuters,Adobe plans up to $2 billion share buyback
2015-06-16,22:18:12,ADBE,Reuters,Adobe revenue rises 8.8 percent
2015-08-10,17:29:10,ADBE,Reuters,"Adobe joins tech industry push in raising maternity, parental leave"
2015-09-17,22:40:01,ADBE,Reuters,Adobe revenue beats on higher-than-expected subcriptions
2015-11-30,18:40:14,ADBE,Reuters,"U.S. Cyber Monday sales up 14 percent, on track for record: Adobe"
2016-06-21,22:41:03,ADBE,Reuters,Adobe third-quarter revenue forecast largely below Wall St. estimates
2016-10-20,18:58:58,ADBE,Business Insider,"Leaked email shows Salesforce once had Adobe on its target acquisition list (CRM, ADBE)"
2016-10-27,13:10:20,ADBE,Reuters,BRIEF-Adobe predicts $91 bln in sales this holiday season (ADBE)
2016-11-10,15:50:18,ADBE,Reuters,Photoshop maker Adobe to buy video ad firm TubeMogul for $540 mln (ADBE)
2016-11-10,17:28:00,ADBE,Business Insider,"Adobe is acquiring ad tech company TubeMogul for $540 million (ADBE, TUBE)"
2016-11-10,19:10:20,ADBE,Reuters,UPDATE 1-Photoshop maker Adobe to buy video ad firm TubeMogul (ADBE)
2016-11-29,15:14:56,ADBE,Business Insider,"A 'social media company' and 'foreign telecom company' were interested in buying TubeMogul before Adobe swooped in with its $540 million offer (ADBE, TUBE)"
2016-12-12,22:07:55,ADBE,Business Insider,It looks like Adobe Flash’s days are finally numbered (ADBE)
2016-12-15,22:26:05,ADBE,Reuters,Adobe's revenue rises for eleventh straight quarter (ADBE)
2016-12-15,22:36:07,ADBE,Reuters,BRIEF-Adobe Systems Q4 revenue $1.61 bln versus I/B/E/S view $1.59 bln (ADBE)
