date,time,ticker,source,title
2015-06-10,13:25:26,SPOT,Reuters,Spotify raises $115 million in share sale
2015-06-11,10:30:37,SPOT,Reuters,"No need to be industry number one, says Spotify founder"
2016-03-19,01:32:48,SPOT,Reuters,"Spotify agreement a 'win' for artists, company :Billboard editor"
2016-03-29,23:47:22,SPOT,Reuters,Music streaming company Spotify raises $1 billion in convertible debt
2016-03-29,23:47:25,SPOT,Reuters,Music streaming company Spotify raises $1 billion in convertible debt
2016-05-09,20:17:11,SPOT,Reuters,Spotify says growth has quickened since Apple Music's launch
2016-06-09,12:59:20,SPOT,Reuters,Spotify co-founder Ek says no intention to sell
2016-07-01,16:21:03,SPOT,Reuters,Apple fires back at Spotify over music streaming claims
2017-05-12,17:25:21,SPOT,Reuters,"Spotify, valued at $13 billion, to launch direct listing on NYSE: sources"
2017-06-02,14:20:46,SPOT,Reuters,Spotify stock listing could be within a year: source
2017-07-24,13:26:41,SPOT,Reuters,"Exclusive: Spotify, Warner hope to clinch royalty deal by September - sources"
2017-08-25,00:13:44,SPOT,Reuters,Spotify reaches licensing deal with Warner Music
2017-09-11,13:24:20,SPOT,Reuters,David v Goliath: Deezer seeks musical edge on Spotify
2017-12-08,18:24:01,SPOT,Reuters,Spotify and Tencent Music to buy stakes in each other
2017-12-14,16:59:24,SPOT,Reuters,Spotify price tag rises ahead of filing for NYSE listing - sources
2017-12-14,17:11:17,SPOT,Reuters,Spotify price tag rises ahead of filing for NYSE listing: sources
2018-01-02,22:48:54,SPOT,Reuters,Spotify hit with $1.6 billion copyright lawsuit
2018-01-03,19:14:15,SPOT,Reuters,Spotify makes confidential filing for U.S. IPO: source
2018-02-28,21:25:15,SPOT,Reuters,Spotify files for direct listing of up to $1 billion
2018-02-28,22:31:15,SPOT,Reuters,Spotify files for direct listing on New York Stock Exchange
2018-03-01,02:14:01,SPOT,Reuters,"Spotify plans to list shares, fend off Apple and Amazon"
2018-03-12,20:38:21,SPOT,Reuters,Has Spotify answered its royalty problem?
2018-03-20,22:05:31,SPOT,Reuters,Spotify CEO to sell up to $2 billion stake in public listing
2018-03-20,23:03:43,SPOT,Reuters,Spotify CEO eligible to sell up to $2 billion stake in public listing
2018-03-23,13:48:26,SPOT,Reuters,BRIEF-Spotify Detects Instances Of About 2 Mln Users Who Have Been Suppressing Advertisements Without Payment
2018-03-23,14:12:02,SPOT,Reuters,Spotify says about 2 mln users suppressing ads without paying
2018-03-23,14:17:46,SPOT,Reuters,Spotify says about two million users suppressing ads without paying
2018-03-23,15:37:41,SPOT,Reuters,CORRECTED-Spotify says about 2 mln users suppressing ads without paying
2018-03-23,16:17:20,SPOT,Reuters,CORRECTED-Spotify to list shares in direct offering (March 20)
